Pronomen,Verben,Translation
infinitiv,erschrecken,frighten
ich,erschrecke,frighten
du,erschreckst,frighten
er/sie/es,erschreckt,frightens
wir,erschrecken,frighten
ihr,erschreckt,frighten
sie/Sie,erschrecken,frighten
infinitiv,verscheuchen,scare
ich,verscheuche,scare
du,verscheuchst,scare
er/sie/es,verscheucht,scares
wir,verscheuchen,scare
ihr,verscheucht,scare
sie/Sie,verscheuchen,scare
iinfinitiv,ankündigen,anounce
ich,kündige an,anounce
du,kündigst an,anounce
er/sie/es,kündigt an,anounces
wir,kündigen an,anounce
ihr,kündigt an,anounce
sie/Sie,kündigen an,anounce
infinitiv,duften,smell nice
ich,dufte,smell nice
du,duftest,smell nice
er/sie/es,duftet,smells nice
wir,duften,smell nice
ihr,duftet,smell nice
sie/Sie,duften,smell nice
infinitiv,abweisen,reject
ich,weise ab,reject
du,weist ab,reject
er/sie/es,weist ab,rejects
wir,weisen ab,reject
ihr,weist ab,reject
sie/Sie,weisen ab,reject
infinitiv,abhängen,depend
ich,hänge ab,depend
du,hängst ab,depend
er/sie/es,hängt ab,depends
wir,hängen ab,depend
ihr,hängt ab,depend
sie/Sie,hängen ab,depend
infinitiv,gewähren,grant
ich,gewähre,grant
du,gewährst,grant
er/sie/es,gewährt,grants
wir,gewähren,grant
ihr,gewährt,grant
sie/Sie,gewähren,grant
infinitiv,zählen,count
ich,zähle,count
du,zählst,count
er/sie/es,zählt,counts
wir,zählen,count
ihr,zählt,count
sie/Sie,zählen,count
infinitiv,anspucken,spit
ich,spucke an,spit
du,spuckst an,spit
er/sie/es,spuckt an,spits
wir,spucken an,spit
ihr,spuckt an,spit
sie/Sie,spucken an,spit
infinitiv,beraten,advise
ich,berate,advise
du,berätst,advise
er/sie/es,berät,advises
wir,beraten,advise
ihr,beratet,advise
sie/Sie,beraten,advise
infinitiv,eisen,iron
ich,eise,iron
du,eist,iron
er/sie/es,eist,irons
wir,eisen,iron
ihr,eist,iron
sie/Sie,eisen,iron
infinitiv,reinigen,cleanse
ich,reinige,cleanse
du,reinigst,cleanse
er/sie/es,reinigt,cleanses
wir,reinigen,cleanse
ihr,reinigt,cleanse
sie/Sie,reinigen,cleanse
infinitiv,aufbewahren,keep
ich,bewahre auf,keep
du,bewahrst auf,keep
er/sie/es,bewahrt auf,keeps
wir,bewahren auf,keep
ihr,bewahrt auf,keep
sie/Sie,bewahren auf,keep
infinitiv,anschließen,connect
ich,schließe an,connect
du,schließt an,connect
er/sie/es,schließt an,connects
wir,schließen an,connect
ihr,schließt an,connect
sie/Sie,schließen an,connect
infinitiv,überwältigen,overwhelm
ich,überwältige,overwhelm
du,überwältigst,overwhelm
er/sie/es,überwältigt,overwhelms
wir,überwältigen,overwhelm
ihr,überwältigt,overwhelm
sie/Sie,überwältigen,overwhelm
