Pronomen,Verben,Translation
infinitiv,tauschen,swap
ich,tausche,swap
du,tauschst,swap
er/sie/es,tauscht,swaps
wir,tauschen,swap
ihr,tauscht,swap
sie/Sie,tauschen,swap
infinitiv,anstrengen,exert
ich,strenge an,exert
du,strengst an,exert
er/sie/es,strengt an,exerts
wir,strengen an,exert
ihr,strengt an,exert
sie/Sie,strengen an,exert
infinitiv,bereuen,regret
ich,bereue,regret
du,bereust,regret
er/sie/es,bereut,regrets
wir,bereuen,regret
ihr,bereut,regret
sie/Sie,bereuen,regret
infinitiv,flehen,beg
ich,flehe,beg
du,flehst,beg
er/sie/es,fleht,begs
wir,flehen,beg
ihr,fleht,beg
sie/Sie,flehen,beg
infinitiv,verlegen,relocate
ich,verlege,relocate
du,verlegst,relocate
er/sie/es,verlegt,relocates
wir,verlegen,relocate
ihr,verlegt,relocate
sie/Sie,verlegen,relocate
infinitiv,verheilen,heal
ich,verheile,heal
du,verheilst,heal
er/sie/es,verheilt,heals
wir,verheilen,heal
ihr,verheilt,heal
sie/Sie,verheilen,heal
infinitiv,beschuldigen,blame
ich,beschuldige,blame
du,beschuldigst,blame
er/sie/es,beschuldigt,blames
wir,beschuldigen,blame
ihr,beschuldigt,blame
sie/Sie,beschuldigen,blame
infinitiv,betrachten,consider
ich,betrachte,consider
du,betrachtest,consider
er/sie/es,betrachtet,considers
wir,betrachten,consider
ihr,betrachtet,consider
sie/Sie,betrachten,consider
infinitiv,beruhigen,calm
ich,beruhige,calm
du,beruhigst,calm
er/sie/es,beruhigt,calms
wir,beruhigen,calm
ihr,beruhigt,calm
sie/Sie,beruhigen,calm
infinitiv,verdächtigen,suspect
ich,verdächtige,suspect
du,verdächtigst,suspect
er/sie/es,verdächtigt,suspects
wir,verdächtigen,suspect
ihr,verdächtigt,suspect
sie/Sie,verdächtigen,suspect
infinitiv,vermuten,assume
ich,vermute,assume
du,vermutest,assume
er/sie/es,vermutet,assumes
wir,vermuten,assume
ihr,vermutet,assume
sie/Sie,vermuten,assume
infinitiv,hantieren,handle
ich,hantiere,handle
du,hantierst,handle
er/sie/es,hantiert,handles
wir,hantieren,handle
ihr,hantiert,handle
sie/Sie,hantieren,handle
infinitiv,unterstützen,support
ich,unterstütze,support
du,unterstützst,support
er/sie/es,unterstützt,supports
wir,unterstützen,support
ihr,unterstützt,support
sie/Sie,unterstützen,support
infinitiv,jagen,hunt
ich,jage,hunt
du,jagst,hunt
er/sie/es,jagt,hunts
wir,jagen,hunt
ihr,jagt,hunt
sie/Sie,jagen,hunt
infinitiv,stürzen,fall
ich,stürze,fall
du,stürzt,fall
er/sie/es,stürzt,falls
wir,stürzen,fall
ihr,stürzt,fall
sie/Sie,stürzen,fall
