Pronomen,Verben,Translation
infinitiv,verwenden,use
ich,verwende,use
du,verwendest,use
er/sie/es,verwendet,uses
wir,verwenden,use
ihr,verwendet,use
sie/Sie,verwenden,uses
infinitiv,erhalten,receive
ich,erhalte,receive
du,erhältst,receive
er/sie/es,erhält,receives
wir,erhalten,receive
ihr,erhaltet,receive
sie/Sie,erhalten,receive
infinitiv,bauen,build
ich,baue,build
du,baust,build
er/sie/es,baut,builds
wir,bauen,build
ihr,baut,build
sie/Sie,bauen,build
infinitiv,leihen,borrow
ich,leihe,borrow
du,leihst,borrow
er/sie/es,leiht,borrows
wir,leihen,borrow
ihr,leiht,borrow
sie/Sie,leihen,borrow
infinitiv,stehlen,steal
ich,stehle,steal
du,stiehlst,steal
er/sie/es,stiehlt,steals
wir,stehlen,steal
ihr,stehlt,steal
sie/Sie,stehlen,steal
infinitiv,riechen,smell
ich,rieche,smell
du,riechst,smell
er/sie/es,riecht,smells
wir,riechen,smell
ihr,riecht,smell
sie/Sie,riechen,smell
infinitiv,verraten,betray
ich,verrate,betray
du,verrätst,betray
er/sie/es,verrät,betrays
wir,verraten,betray
ihr,verratet,betray
sie/Sie,verraten,betray
infinitiv,wagen,dare
ich,wage,dare
du,wagst,dare
er/sie/es,wagt,dares
wir,wagen,dare
ihr,wagt,dare
sie/Sie,wagen,dare
infinitiv,bezweifeln,doubt
ich,bezweifle,doubt
du,bezweifelst,doubt
er/sie/es,bezweifelt,doubts
wir,bezweifeln,doubt
ihr,bezweifelt,doubt
sie/Sie,bezweifeln,doubt
infinitiv,schalten,switch
ich,schalte,switch
du,schaltest,switch
er/sie/es,schaltet,switches
wir,schalten,switch
ihr,schaltet,switch
sie/Sie,schalten,switch
infinitiv,erweisen,prove
ich,erweise,prove
du,erweist,prove
er/sie/es,erweist,proves
wir,erweisen,prove
ihr,erweist,prove
sie/Sie,erweisen,prove
infinitiv,bestehen,pass
ich,bestehe,pass
du,bestehst,pass
er/sie/es,besteht,passes
wir,bestehen,pass
ihr,besteht,pass
sie/Sie,bestehen,pass
infinitiv,überlegen,consider
ich,überlege,consider
du,überlegst,consider
er/sie/es,überlegt,consider
wir,überlegen,consider
ihr,überlegt,consider
sie/Sie,überlegen,consider
infinitiv,angreifen,attack
ich,greife an,attack
du,greifst an,attack
er/sie/es,greift an,attacks
wir,greifen an,attack
ihr,greift an,attack
sie/Sie,greifen an,attack
infinitiv,erregen,excite
ich,errege,excite
du,erregst,excite
er/sie/es,erregt,excites
wir,erregen,excite
ihr,erregt,excite
sie/Sie,erregen,excite
