Pronomen,Verben,Translation
infinitiv,stecken,put
ich,stecke,put
du,steckst,put
er/sie/es,steckt,puts
wir,stecken,put
ihr,steckt,put
sie/Sie,stecken,put
infinitiv,anfassen,touch
ich,fasse an,touch
du,fassst an,touch
er/sie/es,fasst an,touches
wir,fassen an,touch
ihr,fasst an,touch
sie/Sie,fassen an,touch
infinitiv,bewundern,admire
ich,bewundere,admire
du,bewunderst,admire
er/sie/es,bewundert,admires
wir,bewundern,admire
ihr,bewundert,admire
sie/Sie,bewundern,admire
infinitiv,fungieren,function
ich,fungiere,function
du,fungierst,function
er/sie/es,fungiert,functions
wir,fungieren,function
ihr,fungiert,function
sie/Sie,fungieren,function
infinitiv,verbinden,connect
ich,verbinde,connect
du,verbindest,connect
er/sie/es,verbindet,connect
wir,verbinden,connect
ihr,verbindet,connect
sie/Sie,verbinden,connect
infinitiv,verlieren,lose
ich,verliere,lose
du,verlierst,lose
er/sie/es,verliert,loses
wir,verlieren,lose
ihr,verliert,lose
sie/Sie,verlieren,lose
infinitiv,verschwinden,disappear
ich,verschwinde,disappear
du,verschwindest,disappear
er/sie/es,verschwindet,disappears
wir,verschwinden,disappear
ihr,verschwindet,disappear
sie/Sie,verschwinden,disappear
infinitiv,erscheinen,appear
ich,erscheine,appear
du,erscheinst,appear
er/sie/es,erscheint,appears
wir,erscheinen,appear
ihr,erscheint,appear
sie/Sie,erscheinen,appear
infinitiv,verschwenden,waste
ich,verschwende,waste
du,verschwendest,waste
er/sie/es,verschwendet,wastes
wir,verschwenden,waste
ihr,verschwendet,waste
sie/Sie,verschwenden,waste
infinitiv,beeilen,hurry
ich,beeile,hurry
du,beeilst,hurry
er/sie/es,beeilt,hurries
wir,beeilen,hurry
ihr,beeilt,hurry
sie/Sie,beeilen,hurry
infinitiv,lügen,lie
ich,lüge,lie
du,lügst,lie
er/sie/es,lügt,lies
wir,lügen,lie
ihr,lügt,lie
sie/Sie,lügen,lie
infinitiv,erledigen,handle
ich,erledige,handle
du,erledigst,handle
er/sie/es,erledigt,handles
wir,erledigen,handle
ihr,erledigt,handle
sie/Sie,erledigen,handle
infinitiv,bereiten vor,prepare
ich,bereite vor,prepare
du,bereitest vor,prepare
er/sie/es,bereitet vor,prepares
wir,bereiten vor,prepare
ihr,bereitet vor,prepare
sie/Sie,bereiten vor,prepare
infinitiv,reagieren,respond
ich,reagiere,respond
du,reagierst,respond
er/sie/es,reagiert,responds
wir,reagieren,respond
ihr,reagiert,respond
sie/Sie,reagieren,respond
infinitiv,schikanieren,harass
ich,schikaniere,harass
du,schikanierst,harass
er/sie/es,schikaniert,harasses
wir,schikanieren,harass
ihr,schikaniert,harass
sie/Sie,schikanieren,harass
