Pronomen,Verben,Translation
infinitiv,spielen,play
ich,spiele,play
du,spielst,play
er/sie/es,spielt,plays
wir,spielen,plays
ihr,spielt,plays
sie/Sie,spielen,play
infinitiv,wohnen,live
ich,wohne,live
du,wohnst,live
er/sie/es,wohnt,lives
wir,wohnen,live
ihr,wohnt,live
sie/Sie,wohnen,live
infinitiv,lesen,read
ich,lese,read
du,liest,read
er/sie/es,liest,reads
wir,lesen,read
ihr,lest,read
sie/Sie,lesen,read
infinitiv,sprechen,speak
ich,spreche,speak
du,sprichst,speak
er/sie/es,spricht,speaks
wir,sprechen,speak
ihr,sprecht,speak
sie/Sie,sprechen,speak
infinitiv,lieben,love
ich,liebe,love
du,liebst,love
er/sie/es,liebt,loves
wir,lieben,love
ihr,liebt,love
sie/Sie,lieben,love
infinitiv,bleiben,stay
ich,bleibe,stay
du,bleibst,stay
er/sie/es,bleibt,stays
wir,bleiben,stay
ihr,bleibt,stay
sie/Sie,bleiben,stay
infinitiv,brauchen,need
ich,brauche,need
du,brauchst,need
er/sie/es,braucht,needs
wir,brauchen,need
ihr,braucht,need
sie/Sie,brauchen,need
infinitiv,kaufen,buy
ich,kaufe,buy
du,kaufst,buy
er/sie/es,kauft,buys
wir,kaufen,buy
ihr,kauft,buy
sie/Sie,kaufen,buy
infinitiv,bekommen,get
ich,bekomme,get
du,bekommst,get
er/sie/es,bekommt,gets
wir,bekommen,get
ihr,bekommt,get
sie/Sie,bekommen,get
infinitiv,arbeiten,work
ich,arbeite,work
du,arbeitest,work
er/sie/es,arbeitet,works
wir,arbeiten,work
ihr,arbeitet,work
sie/Sie,arbeiten,work
infinitiv,fragen,ask
ich,frage,ask
du,fragst,ask
er/sie/es,fragt,asks
wir,fragen,ask
ihr,fragt,ask
sie/Sie,fragen,ask
infinitiv,bringen,bring
ich,bringe,bring
du,bringst,bring
er/sie/es,bringt,brings
wir,bringen,bring
ihr,bringt,bring
sie/Sie,bringen,bring
infinitiv,senden,send
ich,sende,send
du,sendest,send
er/sie/es,sendet,sends
wir,senden,send
ihr,sendet,send
sie/Sie,senden,send
infinitiv,anrufen,call
ich,rufe an,call
du,rufst an,call
er/sie/es,ruft an,calls
wir,rufen an,call
ihr,ruft an,call
sie/Sie,rufen an,call
infinitiv,kennen,know
ich,kenne,know
du,kennst,know
er/sie/es,kennt,knows
wir,kennen,know
ihr,kennt,know
sie/Sie,kennen,know
