Pronomen,Verben,Translation
infinitiv,hüten,take care
ich,hüte,take care
du,hütest,take care
er/sie/es,hütet,take cares
wir,hüten,take care
ihr,hütet,take care
sie/Sie,hüten,take care
infinitiv,erstrahlen,shine
ich,erstrahle,shine
du,erstrahlst,shine
er/sie/es,erstrahlt,shines
wir,erstrahlen,shine
ihr,erstrahlt,shine
sie/Sie,erstrahlen,shine
infinitiv,befestigen,fix
ich,befestige,fix
du,befestigst,fix
er/sie/es,befestigt,fixes
wir,befestigen,fix
ihr,befestigt,fix
sie/Sie,befestigen,fix
infinitiv,fördern,encourage
ich,fördere,encourage
du,förderst,encourage
er/sie/es,fördert,encourages
wir,fördern,encourage
ihr,fördert,encourage
sie/Sie,fördern,encourage
infinitiv,erwidern,reply
ich,erwidere,reply
du,erwiderst,reply
er/sie/es,erwidert,replies
wir,erwidern,reply
ihr,erwidert,reply
sie/Sie,erwidern,reply
infinitiv,auspowern,work out
ich,powere aus,work out
du,powerst aus,work out
er/sie/es,powert aus,works out
wir,powern aus,work out
ihr,powert aus,work out
sie/Sie,powern aus,work out
infinitiv,ärgern,annoy
ich,ärgere,annoy
du,ärgerst,annoy
er/sie/es,ärgert,annoies
wir,ärgern,annoy
ihr,ärgert,annoy
sie/Sie,ärgern,annoy
infinitiv,einlösen,redeem
ich,löse ein,redeem
du,löst ein,redeem
er/sie/es,löst ein,redeems
wir,lösen ein,redeem
ihr,löst ein,redeem
sie/Sie,lösen ein,redeem
infinitiv,beruhen,rely
ich,beruhe,rely
du,beruhst,rely
er/sie/es,beruht,relies
wir,beruhen,rely
ihr,beruht,rely
sie/Sie,beruhen,rely
infinitiv,entlocken,extract
ich,entlocke,extract
du,entlockst,extract
er/sie/es,entlockt,extracts
wir,entlocken,extract
ihr,entlockt,extract
sie/Sie,entlocken,extract
infinitiv,treten,tread
ich,trete,tread
du,trittst,tread
er/sie/es,tritt,treads
wir,treten,tread
ihr,tretet,tread
sie/Sie,treten,treadinf
infinitiv,tarnen,camouflage
ich,tarne,camouflage
du,tarnst,camouflage
er/sie/es,tarnt,camouflages
wir,tarnen,camouflage
ihr,tarnt,camouflage
sie/Sie,tarnen,camouflage
infinitiv,entlassen,release
ich,entlasse,release
du,entlassst,release
er/sie/es,entlasst,releases
wir,entlassen,release
ihr,entlasst,release
sie/Sie,entlassen,release
infinitiv,auslöschen,erase
ich,lösche aus,erase
du,löschst aus,erase
er/sie/es,löscht aus,erases
wir,löschen aus,erase
ihr,löscht aus,erase
sie/Sie,löschen aus,erase
infinitiv,aneignen,acquire
ich,eigne an,acquire
du,eignst an,acquire
er/sie/es,eignt an,acquires
wir,eignen an,acquire
ihr,eignt an,acquire
sie/Sie,eignen an,acquire
