Pronomen,Verben,Translation
infinitiv,sein,to be
ich,bin,am
du,bist,are
er/sie/es,ist,is
wir,sind,are
ihr,seid,are
sie/Sie,sind,are
infinitiv,haben,have
ich,habe,have
du,hast,have
er/sie/es,hat,has
wir,haben,have
ihr,hat,have
sie/Sie,haben,have
infinitiv,werden,become
ich,werde,become
du,wirst,become
er/sie/es,wird,become
wir,werden,become
ihr,werdet,become
sie/Sie,werden,become
infinitiv,denken,think
ich,denke,think
du,denkst,think
er/sie/es,denkt,thinks
wir,denken,think
ihr,denkt,think
sie/Sie,denken,think
infinitiv,essen,eat
ich,esse,eat
du,isst,eat
er/sie/es,isst,eats
wir,essen,eat
ihr,esst,eat
sie/Sie,essen,eat
infinitiv,sagen,say
ich,sage,say
du,sagst,say
er/sie/es,sagt,says
wir,sagen,say
ihr,sagt,say
sie/Sie,sagen,say
infinitiv,geben,give
ich,gebe,give
du,gibst,give
er/sie/es,gibt,gives
wir,geben,give
ihr,gebt,give
sie/Sie,geben,give
infinitiv,kommen,come
ich,komme,come
du,kommst,come
er/sie/es,kommt,comes
wir,kommen,come
ihr,kommt,come
sie/Sie,kommen,come
infinitiv,machen,make
ich,mache,make
du,machst,make
er/sie/es,macht,makes
wir,machen,make
ihr,macht,make
sie/Sie,machen,make
infinitiv,gehen,go
ich,gehe,go
du,gehst,go
er/sie/es,geht,goes
wir,gehen,go
ihr,geht,go
sie/Sie,gehen,go
infinitiv,heißen,call
ich,heiße,call
du,heißt,call
er/sie/es,heißt,calls
wir,heißen,call
ihr,heißt,call
sie/Sie,heißen,call
infinitiv,wissen,know
ich,weiß,know
du,weißt,know
er/sie/es,weiß,knows
wir,wissen,know
ihr,wisst,know
sie/Sie,wissen,know
infinitiv,sehen,see
ich,sehe,see
du,siehst,see
er/sie/es,sieht,sees
wir,sehen,see
ihr,seht,see
sie/Sie,sehen,see
infinitiv,fahren,drive
ich,fahre,dirve
du,fährst,dirve
er/sie/es,fährt,dirves
wir,fahren,dirve
ihr,fahrt,dirve
sie/Sie,fahren,dirve
infinitiv,lernen,learn
ich,lerne,learn
du,lernst,learn
er/sie/es,lernt,learns
wir,lernen,learn
ihr,lernt,learn
sie/Sie,lernen,learn
