Pronomen,Verben,Translation
infinitiv,schauen,look
ich,schaue,look
du,schaust,look
er/sie/es,schaut,looks
wir,schauen,look
ihr,schaut,look
sie/Sie,schauen,look
infinitiv,zeigen,show
ich,zeige,show
du,zeigst,show
er/sie/es,zeigt,shows
wir,zeigen,show
ihr,zeigt,show
sie/Sie,zeigen,show
infinitiv,üben,practice
ich,übe,practice
du,übst,practice
er/sie/es,übt,practice
wir,üben,practice
ihr,übt,practice
sie/Sie,üben,practice
infinitiv,bedeuten,mean
ich,bedeute,mean
du,bedeutest,mean
er/sie/es,bedeutet,mean
wir,bedeuten,mean
ihr,bedeutet,mean
sie/Sie,bedeuten,mean
infinitiv,meinen,mean
ich,meine,mean
du,meinst,mean
er/sie/es,meint,means
wir,meinen,mean
ihr,meint,mean
sie/Sie,meinen,mean
infinitiv,gucken,look
ich,gucke,look
du,guckst,look
er/sie/es,guckt,looks
wir,gucken,look
ihr,guckt,look
sie/Sie,gucken,looks
infinitiv,vergessen,forget
ich,vergesse,forget
du,vergisst,forget
er/sie/es,vergisst,forgets
wir,vergessen,forget
ihr,vergesst,forget
sie/Sie,vergessen,forget
infinitiv,stimmen,agree
ich,stimme,agree
du,stimmst,agree
er/sie/es,stimmt,agrees
wir,stimmen,agree
ihr,stimmt,agree
sie/Sie,stimmen,agree
infinitiv,tun,do
ich,tue,do
du,tust,do
er/sie/es,tut,does
wir,tun,do
ihr,tut,do
sie/Sie,tun,do
infinitiv,stellen,put/ensure
ich,stelle,put/ensure
du,stellst,put/ensure
er/sie/es,stellt,puts/ensures
wir,stellen,put/ensure
ihr,stellt,put/ensure
sie/Sie,stellen,put/ensure
infinitiv,bewegen,move
ich,bewege,move
du,bewegst,move
er/sie/es,bewegt,moves
wir,bewegen,move
ihr,bewegt,move
sie/Sie,bewegen,move
infinitiv,lassen,leave
ich,lasse,leave
du,lässt,leave
er/sie/es,lässt,leaves
wir,lassen,leave
ihr,lasst,leave
sie/Sie,lassen,leave
infinitiv,atmen,breathe
ich,atme,breathe
du,atmest,breathe
er/sie/es,atmet,breathes
wir,atmen,breathe
ihr,atmet,breathe
sie/Sie,atmen,breathe
infinitiv,schmerzen,hurt
ich,schmerze,hurt
du,schmerzt,hurt
er/sie/es,schmerzt,hurts
wir,schmerzen,hurt
ihr,schmerzt,hurt
sie/Sie,schmerzen,hurt
infinitiv,überraschen,surprise
ich,überrasche,surprise
du,überraschst,surprise
er/sie/es,überrascht,surprises
wir,überraschen,surprise
ihr,überrascht,surprise
sie/Sie,überraschen,surprise
