Pronomen,Verben,Translation
infinitiv,unterwerfen,surrender to
ich,unterwerfe,surrender to
du,unterwirfst,surrender to
er/sie/es,unterwirft,surrenders to
wir,unterwerfen,surrender to
ihr,unterwerft,surrender to
sie/Sie,unterwerfen,surrender to
infinitiv,verprügeln,beat up
ich,verprügle,beat up
du,verprügelst,beat up
er/sie/es,verprügelt,beats up
wir,verprügeln,beats up
ihr,verprügelt,beats up
sie/Sie,verprügeln,beats up
infinitiv,trotzen,defy
ich,trotze,defy
du,trotzt,defy
er/sie/es,trotzt,defies
wir,trotzen,defy
ihr,trotzt,defy
sie/Sie,trotzen,defy
infinitiv,vermasseln,mess up
ich,vermassle,mess up
du,vermasselst,mess up
er/sie/es,vermasselt,messes up
wir,vermasseln,mess up
ihr,vermasselt,mess up
sie/Sie,vermasseln,mess up
infinitiv,irren,be misstaken
ich,irre,am misstaken
du,irrst,are misstaken
er/sie/es,irrt,is misstaken
wir,irren,are misstaken
ihr,irrt,are misstaken
sie/Sie,irren,are misstaken
infinitiv,übernehmen,take over
ich,übernehme,take over
du,übernimmst,take over
er/sie/es,übernimmt,takes over
wir,übernehmen,take over
ihr,übernehmt,take over
sie/Sie,übernehmen,take over
infinitiv,plagen,torment
ich,plage,torment
du,plagst,torment
er/sie/es,plagt,torment
wir,plagen,torment
ihr,plagt,torment
sie/Sie,plagen,torment
infinitiv,errichten,build
ich,errichte,build
du,errichtest,build
er/sie/es,errichtet,builds
wir,errichten,build
ihr,errichtet,build
sie/Sie,errichten,build
infinitiv,verriegeln,lock
ich,verriegle,lock
du,verriegelst,lock
er/sie/es,verriegelt,locks
wir,verriegeln,lock
ihr,verriegelt,lock
sie/sie,verriegeln,lock
infinitiv,begehen,commit
ich,begehe,commit
du,begehst,commit
er/sie/es,begeht,commits
wir,begehen,commit
ihr,begeht,commit
sie/sie,begehen,commit
infinitiv,ablenken,distract
ich,lenke ab,distract
du,lenkst ab,distract
er/sie/es,lenkt ab,distracts
wir,lenken ab,distract
ihr,lenkt ab,distract
sie/sie,lenken ab,distract
infinitiv,gestatten,allow
ich,gestatte,allow
du,gestattest,allow
er/sie/es,gestattet,allows
wir,gestatten,allow
ihr,gestattet,allow
sie/sie,gestatten,allow
infinitiv,unterscheiden,differentiate
ich,unterscheide,differentiate
du,unterscheidest,differentiate
er/sie/es,unterscheidet,differentiates
wir,unterscheiden,differentiate
ihr,unterscheidet,differentiate
sie/sie,unterscheiden,differentiate
infinitiv,nähern,aproach
ich,nähere,aproach
du,näherst,aproach
er/sie/es,nähert,aproaches
wir,nähern,aproach
ihr,nähert,aproach
sie/sie,nähern,aproach
infinitiv,strömen,flow
ich,ströme,flow
du,strömst,flow
er/sie/es,strömt,flows
wir,strömen,flow
ihr,strömt,flow
sie/sie,strömen,flow
