Pronomen,Verben,Translation
infinitiv,behandlen,treat
ich,behandle,treat
du,behandelst,treat
er/sie/es,behandelt,treats
wir,behandeln,treat
ihr,behandelt,treat
sie/Sie,behandeln,treat
infinitiv,verfluchen,curse
ich,verfluche,curse
du,verfluchst,curse
er/sie/es,verflucht,curses
wir,verfluchen,curses
ihr,verflucht,curses
sie/Sie,verfluchen,curses
infinitiv,leisten,afford
ich,leiste,afford
du,leistest,afford
er/sie/es,leistet,affords
wir,leisten,afford
ihr,leistet,afford
sie/Sie,leisten,afford
infinitiv,fliehen,escape
ich,fliehe,escape
du,fliehst,escape
er/sie/es,flieht,escapes
wir,fliehen,escape
ihr,flieht,escape
sie/Sie,fliehen,escape
infinitiv,beschützen,protect
ich,beschützte,protect
du,beschützt,protect
er/sie/es,beschützt,protects
wir,beschützen,protect
ihr,beschützt,protect
sie/Sie,beschützen,protect
infinitiv,verarbeiten,process
ich,verarbeite,process
du,verarbeitest,process
er/sie/es,verarbeitet,processes
wir,verarbeiten,process
ihr,verarbeitet,process
sie/Sie,verarbeiten,process
infinitiv,dringen,penetrate
ich,dringe,penetrate
du,dringst,penetrate
er/sie/es,dringt,penetrates
wir,dringen,penetrate
ihr,dringt,penetrate
sie/Sie,dringen,penetrate
infinitiv,verstecken,hide
ich,verstecke,hide
du,versteckst,hide
er/sie/es,versteckt,hides
wir,verstecken,hide
ihr,versteckt,hide
sie/Sie,verstecken,hide
infinitiv,ertragen,bear
ich,ertrage,bear
du,erträgst,bear
er/sie/es,erträgt,bears
wir,ertragen,bear
ihr,ertrag,bear
sie/Sie,ertragen,bear
infinitiv,leuchten,shine
ich,leuchte,shine
du,leuchtest,shine
er/sie/es,leuchtet,shines
wir,leuchten,shine
ihr,leuchtet,shine
sie/Sie,leuchten,shine
infinitiv,nerven,annoy
ich,nerve,annoy
du,nervst,annoy
er/sie/es,nervt,annoys
wir,nerven,annoy
ihr,nervt,annoy
sie/Sie,nerven,annoy
infinitiv,verwunden,wound
ich,verwunde,wound
du,verwundest,wound
er/sie/es,verwundet,wounds
wir,verwunden,wound
ihr,verwundet,wound
sie/Sie,verwunden,wound
infinitiv,wirken,function
ich,wirke,function
du,wirkst,function
er/sie/es,wirkt,functions
wir,wirken,function
ihr,wirkt,function
sie/Sie,wirken,function
infinitiv,durchstechen,pierce
ich,durchsteche,pierce
du,durchstichst,pierce
er/sie/es,durchsticht,pierces
wir,durchstechen,pierce
ihr,durchstecht,pierce
sie/Sie,durchstechen,pierce
infinitiv,zerstören,destroy
ich,zerstöre,destroy
du,zerstörst,destroy
er/sie/es,zerstört,destroys
wir,zerstören,destroy
ihr,zerstört,destroy
sie/Sie,zerstören,destroy
