Pronomen,Verben,Translation
infinitiv,warten,wait
ich,warte,wait
du,wartest,wait
er/sie/es,wartet,waits
wir,warten,wait
ihr,wartet,wait
sie/Sie,warten,wait
infinitiv,reden,talk
ich,rede,talk
du,redest,talk
er/sie/es,redet,talks
wir,reden,talk
ihr,redet,talk
sie/Sie,reden,talk
infinitiv,laufen,run
ich,laufe,run
du,läufst,run
er/sie/es,läuft,runs
wir,laufen,run
ihr,lauft,run
sie/Sie,laufen,run
infinitiv,verstehen,understand
ich,verstehe,understand
du,verstehst,understand
er/sie/es,versteht,understands
wir,verstehen,understand
ihr,versteht,understand
sie/Sie,verstehen,understand
infinitiv,finden,find
ich,finde,find
du,findest,find
er/sie/es,findet,finds
wir,finden,find
ihr,findet,find
sie/Sie,finden,find
infinitiv,glauben,believe
ich,glaube,believe
du,glaubst,believe
er/sie/es,glaubt,believes
wir,glauben,believe
ihr,glaubt,believe
sie/Sie,glauben,believe
infinitiv,helfen,help
ich,helfe,help
du,hilfst,help
er/sie/es,hilft,helps
wir,helfen,help
ihr,helft,help
sie/Sie,helfen,help
infinitiv,beginnen,begin
ich,beginne,begin
du,beginnst,begin
er/sie/es,beginnt,begins
wir,beginnen,begin
ihr,beginnt,begin
sie/Sie,beginnen,begin
infinitiv,hören,listen
ich,höre,listen
du,hörst,listen
er/sie/es,hört,listens
wir,hören,listen
ihr,hört,listen
sie/Sie,hören,listen
infinitiv,treffen,meet
ich,treffe,meet
du,triffst,meet
er/sie/es,trifft,meets
wir,treffen,meet
ihr,trefft,meet
sie/Sie,treffen,meet
infinitiv,einladen,invite
ich,lade ein,invite
du,lädst ein,invite
er/sie/es,lädt ein,invites
wir,laden ein,invite
ihr,ladet ein,invite
sie/Sie,laden ein,invite
infinitiv,benutzen,use
ich,benutze,use
du,benutzt,use
er/sie/es,benutzt,uses
wir,benutzen,use
ihr,benutzt,use
sie/Sie,benutzen,use
infinitiv,nützen,use
ich,nütze,use
du,nützt,use
er/sie/es,nützt,uses
wir,nützen,use
ihr,nützt,use
sie/Sie,nützen,use
infinitiv,stehen,stand
ich,stehe,stand
du,stehst,stand
er/sie/es,steht,stands
wir,stehen,stand
ihr,steht,stand
sie/Sie,stehen,stand
infinitiv,nehmen,take
ich,nehme,take
du,nimmst,take
er/sie/es,nimmt,takes
wir,nehmen,take
ihr,nehmt,take
sie/Sie,nehmen,take
