Pronomen,Verben,Translation
infinitiv,übertrieben,exagerate
ich,übertreibe,exagerate
du,übertreibst,exagerate
er/sie/es,übertreibt,exagerates
wir,übertreiben,exagerate
ihr,übertreibt,exagerate
sie/Sie,übertreiben,exagerate
infinitiv,rammen,ram
ich,ramme,ram
du,rammst,ram
er/sie/es,rammt,rams
wir,rammen,ram
ihr,rammt,ram
sie/Sie,rammen,ram
infinitiv,umzingeln,surround
ich,umzingle,surround
du,umzingelst,surround
er/sie/es,umzingelt,surrounds
wir,umzingeln,surround
ihr,umzingelt,surround
sie/Sie,umzingeln,surround
infinitiv,entwischen,escape
ich,entwische,escape
du,entwischst,escape
er/sie/es,entwischt,escapes
wir,entwischen,escape
ihr,entwischt,escape
sie/Sie,entwischen,escape
infinitiv,verhaften,arrest
ich,verhafte,arrest
du,verhaftest,arrest
er/sie/es,verhaftet,arrests
wir,verhaften,arrest
ihr,verhaftet,arrest
sie/Sie,verhaften,arrest
infinitiv,vertrieben,expel
ich,vertreibe,expel
du,vertreibst,expel
er/sie/es,vertreibt,expels
wir,vertreiben,expel
ihr,vertreibt,expel
sie/Sie,vertreiben,expel
infinitiv,abschwirren,buzz off
ich,schwirre ab,buzz off
du,schwirrst ab,buzz off
er/sie/es,schwirrt ab,buzzes off
wir,schwirren ab,buzz off
ihr,schwirrt ab,buzz off
sie/Sie,schwirren ab,buzz off
infinitiv,beseitigen,erradicate
ich,beseitige,erradicate
du,beseitigst,erradicate
er/sie/es,beseitigt,erradicates
wir,beseitigen,erradicate
ihr,beseitigt,erradicate
sie/Sie,beseitigen,erradicate
infinitiv,taugen,be suitable
ich,tauge,am suitable
du,taugst,are suitable
er/sie/es,taugt,is suitable
wir,taugen,are suitable
ihr,taugt,are suitable
sie/Sie,taugen,are suitable
infinitiv,überzeugen,convince
ich,überzeuge,convince
du,überzeugst,convince
er/sie/es,überzeugt,convinces
wir,überzeugen,convince
ihr,überzeugt,convince
sie/Sie,überzeugen,convince
infinitiv,bestärken,encourage
ich,bestärke,encourage
du,bestärkst,encourage
er/sie/es,bestärkt,encourages
wir,bestärken,encourage
ihr,bestärkt,encourage
sie/Sie,bestärken,encourage
infinitiv,husten,cough
ich,huste,cough
du,hustest,cough
er/sie/es,hustet,coughs
wir,husten,cough
ihr,hustet,cough
sie/Sie,husten,cough
infinitiv,verehren,worship
ich,verehre,worship
du,verehrst,worship
er/sie/es,verehrt,worships
wir,verehren,worship
ihr,verehrt,worship
sie/Sie,verehren,worship
infinitiv,zuteilen,allocate
ich,teile zu,allocate
du,teilst zu,allocate
er/sie/es,teilt zu,allocates
wir,teilen zu,allocate
ihr,teilt zu,allocate
sie/Sie,teilen zu,allocate
infinitiv,unterstehen,subordinate
ich,unterstehe,subordinate
du,unterstehst,subordinate
er/sie/es,untersteht,subordinates
wir,unterstehen,subordinate
ihr,untersteht,subordinate
sie/Sie,unterstehen,subordinate
