Pronomen,Verben,Translation
infinitiv,befreien,liberate
ich,befreie,liberate
du,befreist,liberate
er/sie/es,befreit,liberates
wir,befreien,liberate
ihr,befreit,liberate
sie/sie,befreien,liberate
infinitiv,bewältigen,handle
ich,bewältige,handle
du,bewältigst,handle
er/sie/es,bewältigt,handles
wir,bewältigen,handle
ihr,bewältigt,handle
sie/sie,bewältigen,handle
infinitiv,sammeln,collect
ich,sammle,collect
du,sammelst,collect
er/sie/es,sammelt,collects
wir,sammeln,collect
ihr,sammelt,collect
sie/sie,sammeln,collect
infinitiv,verrichten,perform
ich,verrichte,perform
du,verrichtest,perform
er/sie/es,verrichtet,performs
wir,verrichten,perform
ihr,verrichtet,perform
sie/sie,verrichten,perform
infinitiv,beseitigen,eliminate
ich,beseitige,eliminate
du,beseitigst,eliminate
er/sie/es,beseitigt,eliminates
wir,beseitigen,eliminate
ihr,beseitigt,eliminate
sie/sie,beseitigen,eliminate
infinitiv,pochen,throb
ich,poche,throb
du,pochst,throb
er/sie/es,pocht,throbs
wir,pochen,throb
ihr,pocht,throb
sie/sie,pochen,throb
infinitiv,kratzen,scratch
ich,kratze,scratch
du,kratzt,scratch
er/sie/es,kratzt,scratchs
wir,kratzen,scratch
ihr,kratzt,scratch
sie/sie,kratzen,scratch
infinitiv,streiten,argue
ich,streite,argue
du,streitest,argue
er/sie/es,streitet,argues
wir,streiten,argue
ihr,streitet,argue
sie/sie,streiten,argue
infinitiv,labern,babble
ich,labere,babble
du,laberst,babble
er/sie/es,labert,babbles
wir,labern,babble
ihr,labert,babble
sie/Sie,labern,babble
infinitiv,beschweren,complain
ich,beschwere,complain
du,beschwerst,complain
er/sie/es,beschwert,complains
wir,beschweren,complain
ihr,beschwert,complain
sie/Sie,beschweren,complain
infinitiv,mischen,mix
ich,mische,mix
du,mischst,mix
er/sie/es,mischt,mixes
wir,mischen,mix
ihr,mischt,mix
sie/Sie,mischen,mix
infinitiv,wachsen,grow
ich,wachse,grow
du,wächst,grow
er/sie/es,wächst,grow
wir,wachsen,grow
ihr,wachst,grow
sie/Sie,wachsen,grow
infinitiv,kehren,sweep
ich,kehre,sweep
du,kehrst,sweep
er/sie/es,kehrt,sweepes
wir,kehren,sweep
ihr,kehrt,sweep
sie/Sie,kehren,sweep
infinitiv,beziehen,relate
ich,beziehe,relate
du,beziehst,relate
er/sie/es,bezieht,relates
wir,beziehen,relate
ihr,bezieht,relate
sie/Sie,beziehen,relate
infinitiv,begleiten,accompany
ich,begleite,accompany
du,begleitest,accompany
er/sie/es,begleitet,accompanies
wir,begleiten,accompany
ihr,begleitet,accompany
sie/Sie,begleiten,accompany
