Pronomen,Verben,Translation
infinitiv,einfallen,think of
ich,falle ein,think of
du,fällst ein,think of
er/sie/es,fällt ein,thinks of
wir,fallen ein,think of
ihr,fallt ein,think of
sie/Sie,fallen ein,think of
infinitiv,bewilligen,authorise
ich,bewillige,authorise
du,bewilligst,authorise
er/sie/es,bewilligt,authorises
wir,bewilligen,authorise
ihr,bewilligt,authorise
sie/Sie,bewilligen,authorise
infinitiv,ähneln,look like
ich,ähnle,look like
du,ähnelst,look like
er/sie/es,ähnelt,looks like
wir,ähneln,look like
ihr,ähnelt,look like
sie/Sie,ähneln,look like
infinitiv,wiederholen,repeat
ich,wiederhole,repeat
du,wiederholst,repeat
er/sie/es,wiederholt,repeat
wir,wiederholen,repeat
ihr,wiederholt,repeat
sie/Sie,wiederholen,repeat
infinitiv,feuern,fire
ich,feuere,fire
du,feuerst,fire
er/sie/es,feuert,fires
wir,feuern,fire
ihr,feuert,fire
sie/Sie,feuern,fire
infinitiv,steigern,increase
ich,steigere,increase
du,steigerst,increase
er/sie/es,steigert,increases
wir,steigern,increase
ihr,steigert,increase
sie/Sie,steigern,increase
infinitiv,kriegen,get
ich,kriege,get
du,kriegst,get
er/sie/es,kriegt,gets
wir,kriegen,get
ihr,kriegt,get
sie/Sie,kriegen,get
infinitiv,betreffen,concern/affect
ich,betreffe,concern/affect
du,betriffst,concern/affect
er/sie/es,betrifft,concerns/affects
wir,betreffen,concern/affect
ihr,betrefft,concern/affect
sie/Sie,betreffen,concern/affect
infinitiv,benötigen,need
ich,benötige,need
du,benötigst,need
er/sie/es,benötigt,need
wir,benötigen,need
ihr,benötigt,need
sie/Sie,benötigen,need
infinitiv,behalten,maintain
ich,behalte,maintain
du,behältst,maintain
er/sie/es,behält,maintains
wir,behalten,maintain
ihr,behaltet,maintain
sie/Sie,behalten,maintain
infinitiv,versuchen,try
ich,versuche,try
du,versuchst,try
er/sie/es,versucht,tries
wir,versuchen,try
ihr,versucht,try
sie/Sie,versuchen,try
infinitiv,halten,stop
ich,halte,stop
du,hältst,stop
er/sie/es,hält,stops
wir,halten,stop
ihr,haltet,stop
sie/Sie,halten,stop
infinitiv,brechen,break
ich,breche,break
du,brichst,break
er/sie/es,bricht,breaks
wir,brechen,break
ihr,brecht,break
sie/Sie,brechen,break
infinitiv,greifen,grab
ich,greife,grab
du,greifst,grab
er/sie/es,greift,grabs
wir,greifen,grab
ihr,greift,grab
sie/Sie,greifen,grab
infinitiv,entkommen,escape
ich,entkomme,escape
du,entkommst,escape
er/sie/es,entkommt,escapes
wir,entkommen,escape
ihr,entkommt,escape
sie/Sie,entkommen,escape
