Pronomen,Verben,Translation
infinitiv,schmieden,forge
ich,schmiede,forge
du,schmiedest,forge
er/sie/es,schmiedet,forges
wir,schmieden,forge
ihr,schmiedet,forge
sie/Sie,schmieden,forge
infinitiv,vernichten,destroy
ich,vernichte,destroy
du,vernichtest,destroy
er/sie/es,vernichtet,destroies
wir,vernichten,destroy
ihr,vernichtet,destroy
sie/Sie,vernichten,destroy
infinitiv,schweigen,keep silence
ich,schweige,keep silence
du,schweigst,keep silence
er/sie/es,schweigt,keeps silence
wir,schweigen,keep silence
ihr,schweigt,keep silence
sie/Sie,schweigen,keep silence
infinitiv,entspannen,relax
ich,entspanne,relax
du,entspannst,relax
er/sie/es,entspannt,relaxs
wir,entspannen,relax
ihr,entspannt,relax
sie/Sie,entspannen,relax
infinitiv,erraten,guess
ich,errate,guess
du,errätst,guess
er/sie/es,errät,guesses
wir,erraten,guess
ihr,erratet,guess
sie/Sie,erraten,guess
infinitiv,verursachen,cause
ich,verursache,cause
du,verursachst,cause
er/sie/es,verursacht,causes
wir,verursachen,cause
ihr,verursacht,cause
sie/Sie,verursachen,cause
infinitiv,schlagen,hit
ich,schlage,hit
du,schlägst,hit
er/sie/es,schlägt,hits
wir,schlagen,hit
ihr,schlagt,hit
sie/Sie,schlagen,hit
infinitiv,untersuchen,investigate
ich,untersuche,investigate
du,untersuchst,investigate
er/sie/es,untersucht,investigates
wir,untersuchen,investigate
ihr,untersucht,investigate
sie/Sie,untersuchen,investigate
infinitiv,erweiteren,expand
ich,erweitere,expand
du,erweiterst,expand
er/sie/es,erweitert,expands
wir,erweitern,expand
ihr,erweitert,expand
sie/Sie,erweitern,expand
infinitiv,aufräumen,clean up
ich,räume auf,clean up
du,räumst auf,clean up
er/sie/es,räumt auf,cleans up
wir,räumen auf,clean up
ihr,räumt auf,clean up
sie/Sie,räumen auf,clean up
infinitiv,zwingen,force
ich,zwinge,force
du,zwingst,force
er/sie/es,zwingt,forces
wir,zwingen,force
ihr,zwingt,force
sie/Sie,zwingen,force
infinitiv,verbergen,hide
ich,verberge,hide
du,verbirgst,hide
er/sie/es,verbirgt,hides
wir,verbergen,hide
ihr,verbergt,hide
sie/Sie,verbergen,hide
infinitiv,dienen,serve
ich,diene,serve
du,dienst,serve
er/sie/es,dient,serves
wir,dienen,serve
ihr,dient,serve
sie/Sie,dienen,serve
infinitiv,sich benehmen,beheave
ich,benehme mich,beheave
du,benimmst dich,beheave
er/sie/es,benimmt sich,beheaves
wir,benehmen uns,beheave
ihr,benehmt euch,beheave
sie/Sie,benehmen sich,beheave
infinitiv,trieben,impulse
ich,treibe,impulse
du,treibst,impulse
er/sie/es,treibt,impulses
wir,treiben,impulse
ihr,treibt,impulse
sie/Sie,treiben,impulse
