Pronomen,Verben,Translation
infinitiv,schweifen,wander
ich,schweife,wander
du,schweifst,wander
er/sie/es,schweift,wanders
wir,schweifen,wander
ihr,schweift,wander
sie/Sie,schweifen,wander
infinitiv,gelten,apply
ich,gelte,apply
du,giltst,apply
er/sie/es,gilt,applies
wir,gelten,apply
ihr,geltet,apply
sie/Sie,gelten,apply
infinitiv,reizen,irritate
ich,reize,irritate
du,reizt,irritate
er/sie/es,reizt,irritate
wir,reizen,irritate
ihr,reizt,irritate
sie/Sie,reizen,irritate
infinitiv,zocken,gamble
ich,zocke,gamble
du,zockst,gamble
er/sie/es,zockt,gambles
wir,zocken,gamble
ihr,zockt,gamble
sie/Sie,zocken,gamble
infinitiv,auftauchen,appear
ich,tauche auf,appear
du,tauchst auf,appear
er/sie/es,taucht auf,appears
wir,tauchen auf,appear
ihr,taucht auf,appear
sie/Sie,tauchen auf,appear
infinitiv,gehorchen,obey
ich,gehorche,obey
du,gehorchst,obey
er/sie/es,gehorcht,obeys
wir,gehorchen,obey
ihr,gehorcht,obey
sie/Sie,gehorchen,obey
infinitiv,agieren,act
ich,agiere,act
du,agierst,act
er/sie/es,agiert,acts
wir,agieren,act
ihr,agiert,act
sie/Sie,agieren,act
infinitiv,erwerben,obtain
ich,erwerbe,obtain
du,erwirbst,obtain
er/sie/es,erwirbt,obtains
wir,erwerben,obtain
ihr,erwerbt,obtain
sie/Sie,erwerben,obtain
infinitiv,absolvieren,complete
ich,absolviere,complete
du,absolvierst,complete
er/sie/es,absolviert,completes
wir,absolvieren,complete
ihr,absolviert,complete
sie/Sie,absolvieren,complete
infinitiv,hupen,beep
ich,hupe,beep
du,hupst,beep
er/sie/es,hupt,beeps
wir,hupen,beep
ihr,hupt,beep
sie/Sie,hupen,beep
infinitiv,umsetzen,implement
ich,setze um,implement
du,setzt um,implement
er/sie/es,setzt um,implements
wir,setzen um,implement
ihr,setzt um,implement
sie/Sie,setzen um,implement
infinitiv,umbesetzen,reassign
ich,besetze um,reassign
du,besetzt um,reassign
er/sie/es,besetzt um,reassigns
wir,besetzen um,reassign
ihr,besetzt um,reassign
sie/Sie,besetzen um,reassign
infinitiv,vereinbaren,arrange
ich,vereinbare,arrange
du,vereinbarst,arrange
er/sie/es,vereinbart,arranges
wir,vereinbaren,arranges
ihr,vereinbart,arranges
sie/Sie,vereinbaren,arranges
infinitiv,verweigern,refuse
ich,verweigere,refuse
du,verweigerst,refuse
er/sie/es,verweigert,refuses
wir,verweigern,refuse
ihr,verweigert,refuse
sie/Sie,verweigern,refuse
infinitiv,beschleunigen,accelerate
ich,beschleunige,accelerate
du,beschleunigst,accelerate
er/sie/es,beschleunigt,accelerates
wir,beschleunigen,accelerate
ihr,beschleunigt,accelerate
sie/Sie,beschleunigen,accelerate
