Pronomen,Verben,Translation
infinitiv,zielen,aim
ich,ziele,aim
du,zielst,aim
er/sie/es,zielt,aims
wir,zielen,aim
ihr,zielt,aim
sie/Sie,zielen,aim
infinitiv,abfahren,depart
ich,fahre ab,depart
du,fährst ab,depart
er/sie/es,fährt ab,departs
wir,fahren ab,depart
ihr,fahrt ab,depart
sie/Sie,fahren ab,depart
infinitiv,aussteigen,get off
ich,steige aus,get off
du,steigst aus,get off
er/sie/es,steigt aus,gets off
wir,steigen aus,get off
ihr,steigt aus,get off
sie/Sie,steigen aus,get off
infinitiv,umsteigen,transboard
ich,steige um,transboard
du,steigst um,transboard
er/sie/es,steigt um,transboards
wir,steigen um,transboard
ihr,steigt um,transboard
sie/Sie,steigen um,transboard
infinitiv,bestellen,order
ich,bestelle,order
du,bestellst,order
er/sie/es,bestellt,orders
wir,bestellen,order
ihr,bestellt,order
sie/Sie,bestellen,order
infinitiv,lohnen,worth
ich,lohne,worth
du,lohnst,worth
er/sie/es,lohnt,worths
wir,lohnen,worth
ihr,lohnt,worth
sie/Sie,lohnen,worth
infinitiv,schnappen,grab
ich,schnappe,grab
du,schnappst,grab
er/sie/es,schnappt,grabs
wir,schnappen,grab
ihr,schnappt,grab
sie/Sie,schnappen,grab
infinitiv,sparen,save
ich,spare,save
du,sparst,save
er/sie/es,spart,saves
wir,sparen,save
ihr,spart,save
sie/Sie,sparen,save
infinitiv,mieten,rent
ich,miete,rent
du,mietest,rent
er/sie/es,mietet,rents
wir,mieten,rent
ihr,mietet,rent
sie/Sie,mieten,rent
infinitiv,erfahren,learn
ich,erfahre,learn
du,erfahrst,learn
er/sie/es,erfahrt,learns
wir,erfahren,learn
ihr,erfahrt,learn
sie/Sie,erfahren,learn
infinitiv,verfolgen,pursue
ich,verfolge,pursue
du,verfolgst,pursue
er/sie/es,verfolgt,pursues
wir,verfolgen,pursue
ihr,verfolgt,pursue
sie/Sie,verfolgen,pursue
infinitiv,besiegen,defeat
ich,besiege,defeat
du,besiegst,defeat
er/sie/es,besiegt,defeats
wir,besiegen,defeat
ihr,besiegt,defeat
sie/Sie,besiegen,defeat
infinitiv,ablehnen,reject
ich,lehne ab,reject
du,lehnst ab,reject
er/sie/es,lehnt ab,rejects
wir,lehnen ab,reject
ihr,lehnt ab,reject
sie/Sie,lehnen ab,reject
infinitiv,heben,lift
ich,hebe,lift
du,hebst,lift
er/sie/es,hebt,lifts
wir,heben,lift
ihr,hebt,lift
sie/Sie,heben,lift
infinitiv,verwirren,confuse
ich,verwirre,confuse
du,verwirrst,confuse
er/sie/es,verwirrt,confuses
wir,verwirren,confuse
ihr,verwirrt,confuse
sie/Sie,verwirren,confuse
