Pronomen,Verben,Translation
infinitiv,beherrschen,dominate
ich,beherrsche,dominate
du,beherrschst,dominate
er/sie/es,beherrscht,dominates
wir,beherrschen,dominate
ihr,beherrscht,dominate
sie/Sie,beherrschen,dominate
infinitiv,beeinträchtigen,affect
ich,beeinträchtige,affect
du,beeinträchtigst,affect
er/sie/es,beeinträchtigt,affects
wir,beeinträchtigen,affect
ihr,beeinträchtigt,affect
sie/Sie,beeinträchtigen,affect
infinitiv,verabscheuen,detest
ich,verabscheue,detest
du,verabscheust,detest
er/sie/es,verabscheut,detests
wir,verabscheuen,detest
ihr,verabscheut,detest
sie/Sie,verabscheuen,detest
infinitiv,besetzen,ocuppy
ich,besetze,ocuppy
du,besetzt,ocuppy
er/sie/es,besetzt,ocuppies
wir,besetzen,ocuppy
ihr,besetzt,ocuppy
sie/Sie,besetzen,ocuppy
infinitiv,vertuschen,cover up
ich,vertusche,cover up
du,vertuschst,cover up
er/sie/es,vertuscht,covers up
wir,vertuschen,cover up
ihr,vertuscht,cover up
sie/Sie,vertuschen,cover up
infinitiv,abreißen,demolish
ich,reiße ab,demolish
du,reißt ab,demolish
er/sie/es,reißt ab,demolishes
wir,reißen ab,demolish
ihr,reißt ab,demolish
sie/Sie,reißen ab,demolish
infinitiv,verschonen,spare
ich,verschone,spare
du,verschonst,spare
er/sie/es,verschont,spares
wir,verschonen,spare
ihr,verschont,spare
sie/Sie,verschonen,spare
infinitiv,auflösen,disolve
ich,löse auf,disolve
du,löst auf,disolve
er/sie/es,löst auf,disolves
wir,lösen auf,disolve
ihr,löst auf,disolve
sie/Sie,lösen auf,disolve
infinitiv,verzögern,delay
ich,verzögere,delay
du,verzögerst,delay
er/sie/es,verzögert,delays
wir,verzögern,delay
ihr,verzögert,delay
sie/Sie,verzögern,delay
infinitiv,wackeln,waggle
ich,wackle,waggle
du,wackelst,waggle
er/sie/es,wackelt,waggles
wir,wackeln,waggle
ihr,wackelt,waggle
sie/Sie,wackeln,waggle
infinitiv,weigern sich,refuse
ich,weigere mich,refuse
du,weigerst dich,refuse
er/sie/es,weigert sich,refuses
wir,weigern uns,refuse
ihr,weigert euch,refuse
sie/Sie,weigern sich,refuse
infinitiv,erwischen,catch
ich,erwische,catch
du,erwischst,catch
er/sie/es,erwischt,catches
wir,erwischen,catch
ihr,erwischt,catch
sie/Sie,erwischen,catch
infinitiv,weichen,give away
ich,weiche,give away
du,weichst,give away
er/sie/es,weicht,gives away
wir,weichen,give away
ihr,weicht,give away
sie/Sie,weichen,give away
infinitiv,rechnen,expect
ich,rechne,expect
du,rechnest,expect
er/sie/es,rechnet,expects
wir,rechnen,expect
ihr,rechnet,expect
sie/Sie,rechnen,expect
infinitiv,ausbreiten,spread
ich,breite aus,spread
du,breitest aus,spread
er/sie/es,breitet aus,spreads
wir,breiten aus,spread
ihr,breitet aus,spread
sie/Sie,breiten aus,spread
infinitiv,erschießen,shoot
ich,erschieße,shoot
du,erschießt,shoot
er/sie/es,erschießt,shoots
wir,erschießen,shoot
ihr,erschießt,shoot
sie/Sie,erschießen,shoot
infinitiv,jucken,itch
ich,jucke,itch
du,juckst,itch
er/sie/es,juckt,itches
wir,jucken,itch
ihr,juckt,itch
sie/Sie,jucken,itch
infinitiv,nacheifern,emulate
ich,eifere nach,emulate
du,eiferst nach,emulate
er/sie/es,eifert nach,emulates
wir,eifern nach,emulate
ihr,eifert nach,emulate
sie/Sie,eifern nach,emulate
infinitiv,betrügen,cheat
ich,betrüge,cheat
du,betrügst,cheat
er/sie/es,betrügt,cheat
wir,betrügen,cheat
ihr,betrügt,cheat
sie/Sie,betrügen,cheat
infinitiv,verpflichten,obligate
ich,verpflichte,obligate
du,verpflichtest,obligate
er/sie/es,verpflichtet,obligate
wir,verpflichten,obligate
ihr,verpflichtet,obligate
sie/Sie,verpflichten,obligate
infinitiv,wandern,hike
ich,wandere,hike
du,wanderst,hike
er/sie/es,wandert,hikes
wir,wandern,hike
ihr,wandert,hike
sie/Sie,wandern,hike
infinitiv,widmen,devote
ich,widme,devote
du,widmest,devote
er/sie/es,widmet,devotes
wir,widmen,devote
ihr,widmet,devote
sie/Sie,widmen,devote
infinitiv,vergeben,forgive
ich,vergebe,forgive
du,vergibst,forgive
er/sie/es,vergibt,forgives
wir,vergeben,forgive
ihr,vergebt,forgive
sie/Sie,vergeben,forgive
infinitiv,zittern,shake
ich,zittere,shake
du,zitterst,shake
er/sie/es,zittert,shakes
wir,zittern,shake
ihr,zittert,shake
sie/Sie,zittern,shake
