Pronomen,Verben,Translation
infinitiv,beweisen,prove
ich,beweise,prove
du,beweist,prove
er/sie/es,beweist,proves
wir,beweisen,prove
ihr,beweist,prove
sie/Sie,beweisen,prove
infinitiv,enttäuschen,disappoint
ich,enttäusche,disappoint
du,enttäuschst,disappoint
er/sie/es,enttäuscht,disappoints
wir,enttäuschen,disappoint
ihr,enttäuscht,disappoint
sie/Sie,enttäuschen,disappoint
infinitiv,fürchten,fear
ich,fürchte,fear
du,fürchtest,fear
er/sie/es,fürchtet,fears
wir,fürchten,fear
ihr,fürchtet,fear
sie/Sie,fürchten,fear
infinitiv,verdienen,earn
ich,verdiene,earn
du,verdienst,earn
er/sie/es,verdient,earns
wir,verdienen,earn
ihr,verdient,earn
sie/Sie,verdienen,earn
infinitiv,verwandeln,transform
ich,verwandele,transform
du,verwandelst,transform
er/sie/es,verwandelt,transforms
wir,verwandeln,transform
ihr,verwandelt,transform
sie/Sie,verwandeln,transform
infinitiv,verschlingen,devour
ich,verschlinge,devour
du,verschlingst,devour
er/sie/es,verschlingt,devours
wir,verschlingen,devour
ihr,verschlingt,devour
sie/Sie,verschlingen,devour
infinitiv,übereilen,rush
ich,übereile,rush
du,übereilst,rush
er/sie/es,übereilt,rushes
wir,übereilen,rush
ihr,übereilt,rush
sie/Sie,übereilen,rush
infinitiv,schnallen,fasten
ich,schnalle,fasten
du,schnallst,fasten
er/sie/es,schnallt,fastens
wir,schnallen,fasten
ihr,schnallt,fasten
sie/Sie,schnallen,fasten
infinitiv,schleichen,sneak
ich,schleiche,sneak
du,schleichst,sneak
er/sie/es,schleicht,sneaks
wir,schleichen,sneak
ihr,schleicht,sneak
sie/Sie,schleichen,sneak
infinitiv,demütigen,humiliate
ich,demütige,humiliate
du,demütigst,humiliate
er/sie/es,demütigt,humiliates
wir,demütigen,humiliate
ihr,demütigt,humiliate
sie/Sie,demütigen,humiliate
infinitiv,vermeiden,avoid
ich,vermeide,avoid
du,vermeidest,avoid
er/sie/es,vermeidet,avoids
wir,vermeiden,avoid
ihr,vermeidet,avoid
sie/Sie,vermeiden,avoid
infinitiv,beschädigen,damage
ich,beschädige,damage
du,beschädigst,damage
er/sie/es,beschädigt,damages
wir,beschädigen,damage
ihr,beschädigt,damage
sie/Sie,beschädigen,damage
infinitiv,verzeihen,forgive
ich,verzeihe,forgive
du,verzeihst,forgive
er/sie/es,verzeiht,forgives
wir,verzeihen,forgive
ihr,verzeiht,forgive
sie/Sie,verzeihen,forgive
infinitiv,leiten,guide
ich,leite,guide
du,leitest,guide
er/sie/es,leitet,guides
wir,leiten,guide
ihr,leitet,guide
sie/Sie,leiten,guide
infinitiv,verteilen,distribute
ich,verteile,distribute
du,verteilst,distribute
er/sie/es,verteilt,distributes
wir,verteilen,distribute
ihr,verteilt,distribute
sie/Sie,verteilen,distribute
